,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,73.898,36.154,23.145333333333333,16.145,11.5404,0.4144242871552706,0.37809770135208964,0.3149120449088514,0.3214376983232796,0.33915636921301484
1,contrast,65.252,29.398,15.242666666666667,4.8515,0.82,0.23737467546015978,0.33171496796421707,0.2269965149462223,0.25530598242767155,0.18306236306671053
2,defocus_blur,60.754,26.969,13.21,7.205,3.9392,0.35331460693851113,0.28022667835466564,0.26930342183914036,0.22235992178320885,0.21442596276756376
3,elastic_transform,68.518,23.348,19.420666666666666,11.5955,4.28,0.2969194445759058,0.34770039841532707,0.3737878017127514,0.43841782957315445,0.39398512290790677
4,fog,61.568,27.879,15.612666666666666,10.013,4.8104,0.39339941646903753,0.3621424208395183,0.21854547876864672,0.3019947318825871,0.31584377167746425
5,frost,61.398,22.556,11.147333333333334,7.951,5.0152,0.24309863150119781,0.3533387640491128,0.3508389852941036,0.33804411767050624,0.34015086060389876
6,gaussian_noise,66.204,28.956,14.652666666666667,6.7085,2.1688,0.3336524807382375,0.30143842147663236,0.39407381089404225,0.313932191580534,0.2138411202467978
7,glass_blur,58.64,22.869,7.076,3.832,1.9844,0.36880847020074725,0.40591522213071585,0.31513587618246675,0.29501094948500395,0.2504349946975708
8,impulse_noise,57.054,25.02,14.478666666666667,6.8065,2.5128,0.23452424025163054,0.4236435145139694,0.314449222991243,0.31803260976448655,0.30256867222487926
9,jpeg_compression,67.602,32.432,20.799333333333333,13.7025,8.7324,0.4339335421100259,0.40333855245262384,0.3462326442822814,0.31799493124708533,0.2539215993601829
10,motion_blur,67.648,29.621,15.062,7.544,4.2976,0.3325875592418015,0.37299118330702186,0.3818627903237939,0.3724280914757401,0.360636530444026
11,pixelate,68.478,33.636,19.368666666666666,10.8885,6.956,0.3908715811558068,0.41983931604772806,0.5096313031390309,0.4926824930589646,0.4817712800577283
12,shot_noise,64.31,27.13,13.559333333333333,5.2395,2.246,0.33486484503373504,0.27683815360069275,0.3212183644063771,0.16800836636684835,0.23474656115286052
13,snow,57.592,17.742,12.664666666666667,6.194,3.6092,0.19352620095014572,0.37367775198072195,0.42957099014893174,0.3138191057369113,0.2580186582636088
14,zoom_blur,56.432,23.705,13.308,8.393,5.4136,0.34386828914284706,0.43156858207657933,0.3708543414250016,0.28917653672397137,0.3540813336148858
