,Corruption,FP,T5D
0,brightness,0.04334666666667002,1.2412506666666276
1,gaussian_noise,0.11893600000000557,3.303311333333293
2,motion_blur,0.043719333333333645,1.2422846666666383
3,rotate,0.0852406666666689,2.468805333333286
4,scale,0.165444000000001,3.905217333333332
5,shot_noise,0.15777800000000428,3.9990460000000105
6,snow,0.06318999999999828,1.601075999999963
7,tilt,0.0471266666666672,1.4947579999999623
8,translate,0.0687005000000036,2.0978050000000215
9,zoom_blur,0.03964400000000199,1.0741726666666243
