,Corruption,FP,T5D
0,brightness,0.01655999999999979,1.3041233333333038
1,gaussian_noise,0.07119133333333451,3.59519799999995
2,motion_blur,0.02960666666666591,1.489249999999977
3,rotate,0.03713933333333334,2.1598393333332893
4,scale,0.06171600000000452,2.7337326666666146
5,shot_noise,0.08700000000000373,3.951701333333242
6,snow,0.026573999999999934,1.5162866666666364
7,tilt,0.025173999999999776,1.6643393333332954
8,translate,0.025198000000000335,1.6907654999999997
9,zoom_blur,0.026708666666663772,1.5488979999999546
