,Corruption,FP,T5D
0,brightness,0.02482133333333151,0.9101753333332878
1,gaussian_noise,0.10879333333333814,3.395099999999969
2,motion_blur,0.04530800000000047,1.3832933333332995
3,rotate,0.05793133333333375,1.963973333333284
4,scale,0.09423866666666894,2.731097333333313
5,shot_noise,0.12977866666667331,3.87773199999998
6,snow,0.058049999999999,1.6627779999999759
7,tilt,0.03454066666666652,1.2867559999999456
8,translate,0.03876000000000071,1.4744189999999948
9,zoom_blur,0.03745800000000055,1.104248666666636
