,Corruption,FP,T5D
0,brightness,0.02688533333333081,1.1988293333333013
1,gaussian_noise,0.08373533333333603,3.240822666666637
2,motion_blur,0.028722666666665654,1.1475893333333056
3,rotate,0.048219999999999645,2.1115446666666355
4,scale,0.10126133333333581,3.4897806666666327
5,shot_noise,0.09855200000000441,3.6332606666666334
6,snow,0.036650666666666096,1.4817726666666324
7,tilt,0.028012666666666332,1.3707226666666399
8,translate,0.037669000000000355,1.7774560000000168
9,zoom_blur,0.02988666666666313,1.0895453333332972
