,Corruption,FP,T5D
0,brightness,0.04531533333333613,1.2968033333332984
1,gaussian_noise,0.14765733333333758,3.719145333333314
2,motion_blur,0.07123466666666874,1.753331999999968
3,rotate,0.08752600000000298,2.3639313333333085
4,scale,0.149546000000004,3.4509233333332894
5,shot_noise,0.18103533333333519,4.3018806666667
6,snow,0.08661133333333709,2.0381326666666406
7,tilt,0.05071066666666741,1.495570666666628
8,translate,0.07268250000000442,2.128635
9,zoom_blur,0.05162200000000529,1.3098153333333002
