,Corruption,FP,T5D
0,brightness,0.902608666666381,13.270193333332887
1,gaussian_noise,0.8008600000000777,11.8040213333331
2,motion_blur,0.650091999999952,9.758348666666617
3,rotate,0.8344006666664944,12.266861999999769
4,scale,0.9030506666663903,13.25248866666627
5,shot_noise,0.8330893333334459,12.246237333333148
6,snow,0.6752879999999486,10.150893333333313
7,tilt,0.792077999999898,11.695422666666401
8,translate,0.8120539999998787,11.950796999999989
9,zoom_blur,0.7442566666666074,11.066805999999836
