,Corruption,FP,T5D
0,brightness,0.15652533333333538,2.873506666666623
1,gaussian_noise,0.03147933333333301,0.6813646666666491
2,motion_blur,0.014922666666666836,0.3256300000000104
3,rotate,0.04667666666666758,1.0215613333332934
4,scale,0.14734066666667206,2.6194353333332785
5,shot_noise,0.052972666666667195,1.1013159999999618
6,snow,0.008906666666666787,0.20006066666667546
7,tilt,0.026809333333330687,0.5940679999999696
8,translate,0.04146550000000655,0.9015314999999711
9,zoom_blur,0.016750666666665408,0.36684000000000627
