,Corruption,FP,T5D
0,brightness,0.07008800000001505,1.200281333333311
1,gaussian_noise,0.020964666666666416,0.42161133333334055
2,motion_blur,0.006472666666666869,0.1469886666666789
3,rotate,0.028702666666664912,0.614263333333314
4,scale,0.09259400000001469,1.6436206666666204
5,shot_noise,0.025942666666666225,0.5178213333333388
6,snow,0.00795800000000018,0.18497466666667978
7,tilt,0.016037333333333438,0.33740333333335043
8,translate,0.024753500000001916,0.5400904999999446
9,zoom_blur,0.005321333333333624,0.1237693333333492
