,Corruption,FP,T5D
0,brightness,0.027847333333330906,1.0045946666666326
1,gaussian_noise,0.11818933333333871,3.6510753333333166
2,motion_blur,0.04812533333333381,1.4935059999999614
3,rotate,0.06662533333333392,2.24841333333329
4,scale,0.11059666666666898,3.1262599999999634
5,shot_noise,0.14697066666667075,4.260476666666687
6,snow,0.06109066666666531,1.766692666666634
7,tilt,0.038898666666666686,1.433132666666629
8,translate,0.04880450000000076,1.8263615000000026
9,zoom_blur,0.04164533333333588,1.2208713333333097
