,Corruption,FP,T5D
0,brightness,0.018327333333333015,0.7910279999999552
1,gaussian_noise,0.07890866666666851,2.9018699999999846
2,motion_blur,0.036194666666666604,1.3054679999999634
3,rotate,0.0412866666666665,1.690736666666631
4,scale,0.0652253333333372,2.2634013333333067
5,shot_noise,0.09203600000000345,3.2484886666666273
6,snow,0.05152666666666554,1.639593333333294
7,tilt,0.026979999999999935,1.1737946666666432
8,translate,0.03205400000000036,1.3767879999999757
9,zoom_blur,0.03154599999999785,1.0751326666666328
