,Corruption,FP,T5D
0,brightness,0.02284533333333212,0.9544946666666283
1,gaussian_noise,0.11343333333333921,3.881812666666668
2,motion_blur,0.048033333333333296,1.6016653333333002
3,rotate,0.04851799999999977,1.9863579999999676
4,scale,0.08362466666666951,2.7707946666666485
5,shot_noise,0.13110533333333968,4.239015999999963
6,snow,0.07251800000000042,2.0719493333332846
7,tilt,0.030684666666666513,1.3573766666666351
8,translate,0.03601950000000061,1.563486499999987
9,zoom_blur,0.03717600000000031,1.1999513333333058
