,Corruption,FP,T5D
0,brightness,0.01810666666666612,0.7820219999999569
1,gaussian_noise,0.07555800000000167,2.8940466666666245
2,motion_blur,0.03181799999999927,1.1746359999999691
3,rotate,0.04176266666666669,1.6942259999999658
4,scale,0.07090866666667092,2.4144413333333175
5,shot_noise,0.08983666666666992,3.268921333333316
6,snow,0.03510066666666638,1.3576533333333045
7,tilt,0.026055999999999885,1.1583233333332976
8,translate,0.02990050000000047,1.3182104999999706
9,zoom_blur,0.02700933333333122,0.961511333333294
