,Corruption,FP,T5D
0,brightness,0.030388666666664368,1.0553713333333008
1,gaussian_noise,0.10604466666667085,3.3209746666666415
2,motion_blur,0.04899066666666711,1.4339339999999727
3,rotate,0.06489866666666723,2.105646666666638
4,scale,0.09850466666667036,2.789223999999942
5,shot_noise,0.12013733333333992,3.673049999999947
6,snow,0.05775866666666516,1.7168866666666243
7,tilt,0.039907333333333316,1.4298353333333031
8,translate,0.04614250000000094,1.6466414999999972
9,zoom_blur,0.03866600000000098,1.1782419999999738
