,Corruption,FP,T5D
0,brightness,0.026107333333331064,0.962409999999948
1,gaussian_noise,0.10623800000000497,3.428649333333327
2,motion_blur,0.044624000000000205,1.3983386666666269
3,rotate,0.055924666666667074,1.9802426666666313
4,scale,0.08870133333333616,2.679267333333268
5,shot_noise,0.1309933333333399,3.967274666666633
6,snow,0.05787466666666517,1.6983973333332982
7,tilt,0.03309866666666657,1.2900706666666335
8,translate,0.04023450000000055,1.5582564999999864
9,zoom_blur,0.0351859999999991,1.0896679999999621
