,Corruption,FP,T5D
0,brightness,0.01766866666666655,0.9988766666666273
1,gaussian_noise,0.07412866666666837,4.75524000000003
2,motion_blur,0.02519533333333304,1.1543559999999702
3,rotate,0.03781133333333329,1.820508666666628
4,scale,0.05681866666666877,2.3683726666666463
5,shot_noise,0.07734066666666835,4.41135399999998
6,snow,0.029207333333333283,1.8381066666666301
7,tilt,0.02488066666666662,1.3269133333332988
8,translate,0.030141000000000306,1.5758449999999746
9,zoom_blur,0.024681333333332077,1.184240666666621
