,Corruption,FP,T5D
0,brightness,0.019444666666666437,0.9697606666666396
1,gaussian_noise,0.07741200000000141,3.6836573333332945
2,motion_blur,0.028460666666666353,1.1615246666666328
3,rotate,0.04294466666666619,1.882055999999973
4,scale,0.06566533333333642,2.42897666666662
5,shot_noise,0.08563266666666909,3.7898253333332894
6,snow,0.033598666666666506,1.796215333333296
7,tilt,0.027901333333333105,1.346033999999967
8,translate,0.03446900000000045,1.627671999999972
9,zoom_blur,0.028540666666664802,1.177526666666637
