,Corruption,FP,T5D
0,brightness,0.027129333333331913,0.8671333333332881
1,gaussian_noise,0.10801800000000514,2.980438000000008
2,motion_blur,0.03526933333333255,1.0374293333332951
3,rotate,0.05623466666666607,1.8043493333333078
4,scale,0.07675133333333638,2.134006666666659
5,shot_noise,0.11954066666667287,3.1907086666666316
6,snow,0.04222333333333266,1.2187039999999592
7,tilt,0.03968399999999984,1.2957113333332968
8,translate,0.03713400000000113,1.2037504999999642
9,zoom_blur,0.027746666666664793,0.8631099999999577
