,Corruption,FP,T5D
0,brightness,0.19071866666665682,3.6957933333332895
1,gaussian_noise,0.31280200000000524,5.799244000000022
2,motion_blur,0.13279866666667123,2.614073333333286
3,rotate,0.22335666666665774,4.31378599999997
4,scale,0.3455613333333236,6.038605999999999
5,shot_noise,0.3627666666666915,6.5597846666666495
6,snow,0.16323666666666264,3.194951333333313
7,tilt,0.1333973333333374,2.81167399999998
8,translate,0.19586299999999884,3.9672524999999954
9,zoom_blur,0.0979720000000053,2.0545933333332966
