,Corruption,FP,T5D
0,brightness,0.12795733333333967,2.6056526666666464
1,gaussian_noise,0.4203420000000682,7.212780000000083
2,motion_blur,0.11488200000000406,2.298238666666633
3,rotate,0.22233399999999112,4.294821333333358
4,scale,0.3839633333333131,6.491960666666706
5,shot_noise,0.47992733333343973,7.983778000000048
6,snow,0.1531793333333343,2.9458106666666013
7,tilt,0.1285940000000045,2.7050259999999375
8,translate,0.19618549999999774,3.9016100000000122
9,zoom_blur,0.09052733333334058,1.9075839999999724
