,Corruption,FP,T5D
0,brightness,0.033715333333332265,1.2997693333333105
1,gaussian_noise,0.1343746666666739,4.479289999999958
2,motion_blur,0.04842466666666735,1.5006473333333
3,rotate,0.06019666666666681,2.1544819999999545
4,scale,0.08833066666666947,2.731355333333338
5,shot_noise,0.14803533333333876,4.759486000000008
6,snow,0.06234799999999795,1.9959886666666418
7,tilt,0.037771333333333275,1.4724826666666344
8,translate,0.04111400000000114,1.5633619999999893
9,zoom_blur,0.0360406666666665,1.2616206666666456
