,Corruption,FP,T5D
0,brightness,0.013205333333333524,0.6932699999999672
1,gaussian_noise,0.049486000000000314,2.414710666666659
2,motion_blur,0.02372533333333311,1.0435179999999655
3,rotate,0.030601999999999945,1.5586326666666264
4,scale,0.048234000000001,2.1508793333333034
5,shot_noise,0.05722266666666719,2.6516339999999885
6,snow,0.024867333333333363,1.12660866666664
7,tilt,0.019418666666666765,1.06295866666663
8,translate,0.02236050000000017,1.247281999999967
9,zoom_blur,0.024831333333331474,0.939487333333291
