,Corruption,FP,T5D
0,brightness,0.012938000000000114,0.6311626666666335
1,gaussian_noise,0.0677180000000009,2.7045039999999587
2,motion_blur,0.025145999999999575,1.0398499999999753
3,rotate,0.02934600000000002,1.419323333333278
4,scale,0.04939466666666896,2.0756593333333
5,shot_noise,0.0840173333333359,3.151608666666631
6,snow,0.03197666666666652,1.261843999999964
7,tilt,0.01956333333333347,1.0202899999999748
8,translate,0.020117500000000166,1.0269659999999559
9,zoom_blur,0.02479599999999783,0.9128499999999572
