,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,0,0.0,0.0,0.0,0.0,0.6810034647583961,0.6688720725476742,0.6374368757009506,0.6234373085200786,0.5910289213061333
1,contrast,0,0.0,0.0,0.0,0.0,0.6322175577282906,0.5661993339657784,0.5130830951035023,0.35160507671535013,0.11121889911592006
2,defocus_blur,0,0.0,0.0,0.0,0.0,0.517596298083663,0.4539074130356312,0.33238044288009405,0.23522933144122363,0.1575792945921421
3,elastic_transform,0,0.0,0.0,0.0,0.0,0.5624578081071376,0.29929140135645865,0.38471166528761386,0.38252997435629366,0.285805176012218
4,fog,0,0.0,0.0,0.0,0.0,0.628620770573616,0.573593870550394,0.48051593713462354,0.4444297693669796,0.42905377931892874
5,frost,0,0.0,0.0,0.0,0.0,0.5289898831397295,0.4009101282805204,0.33672330975532533,0.3140532825142145,0.303359161503613
6,gaussian_blur,0,0.0,0.0,0.0,0.0,0.5916987739503383,0.512775969132781,0.3818233236670494,0.28357232809066774,0.15801619878038764
7,gaussian_noise,0,0.1,0.0,0.3,0.04,0.5994888134300709,0.5449067957699298,0.4288052711635828,0.1367391062900424,0.07031141053885222
8,glass_blur,0,0.0,0.0,0.0,0.0,0.4861372258514166,0.38923211097717286,0.1466722596436739,0.19684784729033708,0.1655082494020462
9,impulse_noise,0,0.0,0.06666666666666667,0.2,0.04,0.44939909391105176,0.3807144399732351,0.37771074697375295,0.1655111332423985,0.05523772081360221
10,jpeg_compression,0,0.0,0.0,0.0,0.0,0.589045150950551,0.49644019491970537,0.49314596503973007,0.434098108112812,0.3425259470939636
11,motion_blur,0,0.0,0.0,0.0,0.0,0.5509190373122692,0.44198577404022216,0.32235633544623854,0.318323340266943,0.25134739093482494
12,pixelate,0,0.0,0.0,0.0,0.0,0.6140430502593517,0.5961414776742459,0.47972195148468016,0.4087805971503258,0.36702377777546646
13,shot_noise,0,0.0,0.06666666666666667,0.2,0.04,0.514032881334424,0.48223523795604706,0.35507170483469963,0.15135919637978076,0.05830524628981948
14,snow,0,0.0,0.0,0.0,0.0,0.5265735402703285,0.32546398155391215,0.43055884130299094,0.40326367914676664,0.4123469993472099
15,zoom_blur,0,0.0,0.0,0.0,0.0,0.4657694689929485,0.3668093170970678,0.39533786959946154,0.3460145708173513,0.30059096571058036
