,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,73.344,36.111,23.391333333333332,16.733,12.3788,0.34820108115673065,0.33687578327953815,0.3085736308712512,0.3203353127464652,0.2807374575641006
1,contrast,68.694,32.656,19.022666666666666,7.7225,1.5496,0.3692143210209906,0.3766608885489404,0.4466541225556284,0.2718239992391318,0.1130697166081518
2,defocus_blur,58.03,25.192,11.920666666666667,6.047,2.9616,0.21257805358618498,0.2778850628528744,0.19414428574964404,0.1663584946654737,0.17085540294647217
3,elastic_transform,65.594,21.477,18.345333333333333,10.64,3.5792,0.32624105433933437,0.3002801255788654,0.3235978055745363,0.2630323967896402,0.26609793957322836
4,fog,64.564,29.891,17.048,11.1785,5.7528,0.2910346477292478,0.2767913220450282,0.23726521478965878,0.23771640961058438,0.17899904074147344
5,frost,61.646,22.829,11.612666666666666,8.1645,5.288,0.28751614037901163,0.2440881012007594,0.24350836593657732,0.20292787277139723,0.25498855486512184
6,gaussian_noise,61.914,26.461,9.978,1.7515,0.16,0.4435877758078277,0.4515369599685073,0.09700853284448385,0.09499398648040369,0.028310156805673614
7,glass_blur,53.38,20.143,5.295333333333334,2.884,1.608,0.2230376759544015,0.23238103836774826,0.21243262779898942,0.22276919148862362,0.16818501241505146
8,impulse_noise,45.122,17.705,8.439333333333334,1.12,0.144,0.3559645642526448,0.35057085007429123,0.2418411006219685,0.09498631616588682,0.029447140666889027
9,jpeg_compression,65.534,31.13,19.898,12.869,7.88,0.3029525028541684,0.32407102128490806,0.2978906005155295,0.2848468190059066,0.20109271304681897
10,motion_blur,65.226,28.101,13.163333333333334,5.7125,3.0956,0.32827226049266756,0.25046368362382054,0.2294255376327783,0.2241967034060508,0.19847533258143812
11,pixelate,63.386,31.402,15.92,9.258,6.326,0.37060346035286784,0.2997445580549538,0.3346117497421801,0.16676780814304948,0.1896269682329148
12,shot_noise,60.266,24.207,9.542,1.7425,0.4272,0.33386558620259166,0.20182599825784564,0.18827818054705858,0.14587910537375137,0.09493952555931173
13,snow,55.734,17.375,13.218666666666667,7.4185,4.6424,0.23141935979947448,0.23335162946023047,0.3322772535029799,0.3015859220176935,0.4073035721667111
14,zoom_blur,51.036,20.279,10.945333333333334,6.5505,4.0756,0.27759418194182217,0.2937481969129294,0.24493305920623243,0.2609487506560981,0.24440218228846788
