,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,90.8,90.61,89.82,88.86,86.21,0.05022413501739502,0.05047444517910481,0.052665791216492654,0.05819311937838793,0.06811916333884001
1,contrast,90.5,87.89,85.11,79.93,60.85,0.05142363137602806,0.06214821872711181,0.06780857760608196,0.08798766073435545,0.16215459718853234
2,defocus_blur,91.22,90.97,90.57,89.15,85.45,0.0510000294148922,0.049706550970673564,0.05125544960200787,0.05607242977321148,0.06325905738025904
3,elastic_transform,88.37,88.78,88.72,84.97,79.75,0.058568985529243944,0.05524896863847971,0.056880871200561525,0.0686996106877923,0.08744921689927578
4,fog,90.53,89.51,87.75,85.28,76.02,0.051887463557720184,0.05612495259046554,0.05967169286310673,0.06598353344947099,0.09688098431825638
5,frost,88.99,86.12,82.47,82.74,77.65,0.05889531704634428,0.06980461594760418,0.0822832721248269,0.08368885240107775,0.10250881394743919
6,gaussian_blur,91.19,90.51,89.79,88.56,84.37,0.05063580492883921,0.05059819501936435,0.05218825748562813,0.05384938146173954,0.06724841390550136
7,gaussian_noise,83.65,75.1,65.95,61.21,56.14,0.08187198567092419,0.11427014194428921,0.14967691789120435,0.16308762849718333,0.18058427307903765
8,glass_blur,75.47,76.29,77.68,64.79,66.68,0.11022428769618273,0.10688000578284264,0.10580131426304579,0.16028213700205088,0.1515743959516287
9,impulse_noise,81.9,72.03,63.26,47.73,36.91,0.08699960377812385,0.12077485206872225,0.15150908879488706,0.2252411556825042,0.2787545228034258
10,jpeg_compression,86.45,83.28,82.31,80.7,78.9,0.06971029351502657,0.07926393638551235,0.0836365260899067,0.09010906349569558,0.09796066016107798
11,motion_blur,90.0,87.13,83.41,83.49,78.87,0.05338436530828476,0.06392400880753994,0.07445313968807458,0.07387218435257674,0.08894547100961209
12,pixelate,90.16,89.44,88.79,86.77,82.1,0.051118177746236323,0.054328799106180665,0.05778607040345669,0.06440337640792132,0.08058603522628546
13,saturate,87.25,83.64,90.54,87.94,83.57,0.06221705986559391,0.0792344191879034,0.05220338635146618,0.06279899410009385,0.08151747076064349
14,shot_noise,86.6,82.34,71.65,66.48,58.51,0.06879310870617628,0.08848734101355075,0.12733823798447846,0.14508010957986117,0.17425990059673785
15,snow,87.55,82.8,81.84,80.49,80.11,0.06354241501390934,0.08219974462985992,0.08566427461057902,0.09140360698103905,0.09305011511743069
16,spatter,89.12,84.71,80.89,83.84,77.81,0.05928912457078695,0.07546128580421209,0.08897205960899592,0.0747817928314209,0.09649723604023457
17,speckle_noise,86.66,79.81,75.47,66.52,58.18,0.07005854507535696,0.09819142393916845,0.11062976648360491,0.1450888243585825,0.17527893405258654
18,zoom_blur,90.15,90.5,89.96,89.27,87.59,0.05386234695762396,0.05201396629214287,0.05285186354219913,0.054280996924638746,0.05726727498918772
